Counting Sort Serial;1000;0,016282;0
Counting Sort Paralelo;1000;0,063320;2
Counting Sort Serial;10000;0,018461;0
Counting Sort Paralelo;10000;0,036749;2
Counting Sort Serial;100000;0,013527;0
Counting Sort Paralelo;100000;0,048384;2
Counting Sort Serial;200000;0,020550;0
Counting Sort Paralelo;200000;0,045043;2
Counting Sort Paralelo;100000000;1,193138;2
Counting Sort Serial;100000000;1,558406;0
Counting Sort Serial;1000;0,109765;0
Counting Sort Paralelo;1000;0,152341;6
Counting Sort Serial;10000;0,015481;0
Counting Sort Paralelo;10000;0,059262;6
Counting Sort Serial;100000;0,022126;0
Counting Sort Paralelo;100000;0,070385;6
Counting Sort Serial;200000;0,024504;0
Counting Sort Paralelo;200000;0,070082;6
Counting Sort Paralelo;100000000;1,138412;6
Counting Sort Serial;100000000;1,874353;0
Counting Sort Serial;1000;0,011696;0
Counting Sort Paralelo;1000;0,075690;10
Counting Sort Serial;10000;0,015595;0
Counting Sort Paralelo;10000;0,081338;10
Counting Sort Serial;100000;0,011427;0
Counting Sort Paralelo;100000;0,119113;10
Counting Sort Serial;200000;0,014247;0
Counting Sort Paralelo;200000;0,156705;10
Counting Sort Paralelo;100000000;1,064352;10
Counting Sort Serial;100000000;1,675211;0
