Bubble Sort Serial;1000;0,005391;0
Bubble Sort Paralelo;1000;0,005356;2
Bubble Sort Paralelo;10000;0,012508;2
Bubble Sort Serial;10000;0,038334;0
Bubble Sort Paralelo;100000;2,199845;2
Bubble Sort Serial;100000;9,040782;0
Bubble Sort Paralelo;200000;10,819776;2
Bubble Sort Serial;200000;36,933175;0
Bubble Sort Serial;1000;0,000541;0
Bubble Sort Paralelo;1000;0,000851;6
Bubble Sort Paralelo;10000;0,009693;6
Bubble Sort Serial;10000;0,043494;0
Bubble Sort Paralelo;100000;0,212236;6
Bubble Sort Serial;100000;8,879975;0
Bubble Sort Paralelo;200000;1,040468;6
Bubble Sort Serial;200000;36,569101;0
Bubble Sort Serial;1000;0,000504;0
Bubble Sort Paralelo;1000;0,001118;10
Bubble Sort Paralelo;10000;0,002714;10
Bubble Sort Serial;10000;0,033861;0
Bubble Sort Paralelo;100000;0,104363;10
Bubble Sort Serial;100000;8,882636;0
Bubble Sort Paralelo;200000;0,473474;10
Bubble Sort Serial;200000;36,850418;0
