Quick Sort Paralelo;1000;0,003600;2
Quick Sort Serial;1000;0,001552;0
Quick Sort Paralelo;10000;0,001471;2
Quick Sort Serial;10000;0,000917;0
Quick Sort Paralelo;100000;0,005926;2
Quick Sort Serial;100000;0,006556;0
Quick Sort Paralelo;200000;0,009229;2
Quick Sort Serial;200000;0,012705;0
Quick Sort Paralelo;100000000;5,985097;2
Quick Sort Serial;100000000;8,855684;0
Quick Sort Serial;1000;0,000039;0
Quick Sort Paralelo;1000;0,000971;6
Quick Sort Serial;10000;0,000494;0
Quick Sort Paralelo;10000;0,001186;6
Quick Sort Paralelo;100000;0,004453;6
Quick Sort Serial;100000;0,005845;0
Quick Sort Paralelo;200000;0,007721;6
Quick Sort Serial;200000;0,012623;0
Quick Sort Paralelo;100000000;5,872143;6
Quick Sort Serial;100000000;9,432658;0
Quick Sort Serial;1000;0,000040;0
Quick Sort Paralelo;1000;0,001511;10
Quick Sort Serial;10000;0,000533;0
Quick Sort Paralelo;10000;0,001572;10
Quick Sort Paralelo;100000;0,004212;10
Quick Sort Serial;100000;0,006432;0
Quick Sort Paralelo;200000;0,008466;10
Quick Sort Serial;200000;0,013846;0
Quick Sort Paralelo;100000000;4,441248;10
Quick Sort Serial;100000000;8,884885;0
